,Symbol,Name,Sector,Date,Price
0,MMM,3M Company,Industrials,2023-09-15 00:00:00,101.05999755859376
1,AOS,A.O. Smith Corp,Industrials,2023-09-15 00:00:00,66.7699966430664
2,ABT,Abbott Laboratories,Health Care,2023-09-15 00:00:00,101.73999786376952
3,ABBV,AbbVie Inc.,Health Care,2023-09-15 00:00:00,152.1199951171875
4,ACN,Accenture plc,Information Technology,2023-09-15 00:00:00,312.5299987792969
5,ATVI,Activision Blizzard,Information Technology,2023-09-15 00:00:00,91.81999969482422
6,AYI,Acuity Brands Inc,Industrials,2023-09-15 00:00:00,159.58999633789062
7,ADBE,Adobe Systems Inc,Information Technology,2023-09-15 00:00:00,528.8900146484375
8,AAP,Advance Auto Parts,Consumer Discretionary,2023-09-15 00:00:00,59.81999969482422
9,AMD,Advanced Micro Devices Inc,Information Technology,2023-09-15 00:00:00,101.48999786376952
10,AES,AES Corp,Utilities,2023-09-15 00:00:00,17.239999771118164
11,AET,Aetna Inc,Health Care,2023-09-15 00:00:00,
12,AMG,Affiliated Managers Group Inc,Financials,2023-09-15 00:00:00,134.58999633789062
13,AFL,AFLAC Inc,Financials,2023-09-15 00:00:00,76.51000213623047
14,A,Agilent Technologies Inc,Health Care,2023-09-15 00:00:00,115.91000366210938
15,APD,Air Products & Chemicals Inc,Materials,2023-09-15 00:00:00,302.1099853515625
16,AKAM,Akamai Technologies Inc,Information Technology,2023-09-15 00:00:00,104.5
17,ALK,Alaska Air Group Inc,Industrials,2023-09-15 00:00:00,39.470001220703125
18,ALB,Albemarle Corp,Materials,2023-09-15 00:00:00,183.83999633789065
19,ARE,Alexandria Real Estate Equities Inc,Real Estate,2023-09-15 00:00:00,113.7300033569336
20,ALXN,Alexion Pharmaceuticals,Health Care,2023-09-15 00:00:00,
21,ALGN,Align Technology,Health Care,2023-09-15 00:00:00,332.0899963378906
22,ALLE,Allegion,Industrials,2023-09-15 00:00:00,105.68000030517578
23,AGN,"Allergan, Plc",Health Care,2023-09-15 00:00:00,
24,ADS,Alliance Data Systems,Information Technology,2023-09-15 00:00:00,
25,LNT,Alliant Energy Corp,Utilities,2023-09-15 00:00:00,51.77999877929688
26,ALL,Allstate Corp,Financials,2023-09-15 00:00:00,108.77999877929688
27,GOOGL,Alphabet Inc Class A,Information Technology,2023-09-15 00:00:00,137.39999389648438
28,GOOG,Alphabet Inc Class C,Information Technology,2023-09-15 00:00:00,138.3000030517578
29,MO,Altria Group Inc,Consumer Staples,2023-09-15 00:00:00,43.52999877929688
30,AMZN,Amazon.com Inc,Consumer Discretionary,2023-09-15 00:00:00,140.38999938964844
31,AEE,Ameren Corp,Utilities,2023-09-15 00:00:00,80.7699966430664
32,AAL,American Airlines Group,Industrials,2023-09-15 00:00:00,13.3100004196167
33,AEP,American Electric Power,Utilities,2023-09-15 00:00:00,80.04000091552734
34,AXP,American Express Co,Financials,2023-09-15 00:00:00,163.75
35,AIG,"American International Group, Inc.",Financials,2023-09-15 00:00:00,61.18000030517578
36,AMT,American Tower Corp A,Real Estate,2023-09-15 00:00:00,180.13999938964844
37,AWK,American Water Works Company Inc,Utilities,2023-09-15 00:00:00,138.89999389648438
38,AMP,Ameriprise Financial,Financials,2023-09-15 00:00:00,347.1199951171875
39,ABC,AmerisourceBergen Corp,Health Care,2023-09-15 00:00:00,178.2899932861328
40,AME,AMETEK Inc,Industrials,2023-09-15 00:00:00,151.6300048828125
41,AMGN,Amgen Inc,Health Care,2023-09-15 00:00:00,260.7200012207031
42,APH,Amphenol Corp,Information Technology,2023-09-15 00:00:00,85.72000122070312
43,APC,Anadarko Petroleum Corp,Energy,2023-09-15 00:00:00,
44,ADI,"Analog Devices, Inc.",Information Technology,2023-09-15 00:00:00,178.13999938964844
45,ANDV,Andeavor,Energy,2023-09-15 00:00:00,
46,ANSS,ANSYS,Information Technology,2023-09-15 00:00:00,310.7200012207031
47,ANTM,Anthem Inc.,Health Care,2023-09-15 00:00:00,
48,AON,Aon plc,Financials,2023-09-15 00:00:00,336.1600036621094
49,APA,Apache Corporation,Energy,2023-09-15 00:00:00,42.459999084472656
50,AIV,Apartment Investment & Management,Real Estate,2023-09-15 00:00:00,7.340000152587891
51,AAPL,Apple Inc.,Information Technology,2023-09-15 00:00:00,175.00999450683594
52,AMAT,Applied Materials Inc,Information Technology,2023-09-15 00:00:00,138.25
53,APTV,Aptiv Plc,Consumer Discretionary,2023-09-15 00:00:00,102.45999908447266
54,ADM,Archer-Daniels-Midland Co,Consumer Staples,2023-09-15 00:00:00,79.3499984741211
55,ARNC,Arconic Inc,Industrials,2023-09-15 00:00:00,
56,AJG,Arthur J. Gallagher & Co.,Financials,2023-09-15 00:00:00,230.13999938964844
57,AIZ,Assurant Inc,Financials,2023-09-15 00:00:00,138.64999389648438
58,T,AT&T Inc,Telecommunication Services,2023-09-15 00:00:00,15.229999542236328
59,ADSK,Autodesk Inc,Information Technology,2023-09-15 00:00:00,213.3500061035156
60,ADP,Automatic Data Processing,Information Technology,2023-09-15 00:00:00,245.30999755859372
61,AZO,AutoZone Inc,Consumer Discretionary,2023-09-15 00:00:00,2529.679931640625
62,AVB,"AvalonBay Communities, Inc.",Real Estate,2023-09-15 00:00:00,183.88999938964844
63,AVY,Avery Dennison Corp,Materials,2023-09-15 00:00:00,180.55999755859372
64,BHGE,"Baker Hughes, a GE Company",Energy,2023-09-15 00:00:00,
65,BLL,Ball Corp,Materials,2023-09-15 00:00:00,
66,BAC,Bank of America Corp,Financials,2023-09-15 00:00:00,28.84000015258789
67,BAX,Baxter International Inc.,Health Care,2023-09-15 00:00:00,39.08000183105469
68,BBT,BB&T Corporation,Financials,2023-09-15 00:00:00,
69,BDX,Becton Dickinson,Health Care,2023-09-15 00:00:00,263.739990234375
70,BRK.B,Berkshire Hathaway,Financials,2023-09-15 00:00:00,
71,BBY,Best Buy Co. Inc.,Consumer Discretionary,2023-09-15 00:00:00,72.38999938964844
72,BIIB,Biogen Inc.,Health Care,2023-09-15 00:00:00,254.7899932861328
73,BLK,BlackRock,Financials,2023-09-15 00:00:00,697.4099731445312
74,HRB,Block H&R,Financials,2023-09-15 00:00:00,39.63999938964844
75,BA,Boeing Company,Industrials,2023-09-15 00:00:00,208.1100006103516
76,BWA,BorgWarner,Consumer Discretionary,2023-09-15 00:00:00,41.04999923706055
77,BXP,Boston Properties,Real Estate,2023-09-15 00:00:00,66.27999877929688
78,BSX,Boston Scientific,Health Care,2023-09-15 00:00:00,52.900001525878906
79,BHF,Brighthouse Financial Inc,Financials,2023-09-15 00:00:00,51.900001525878906
80,BMY,Bristol-Myers Squibb,Health Care,2023-09-15 00:00:00,59.02999877929688
81,AVGO,Broadcom,Information Technology,2023-09-15 00:00:00,851.6799926757812
82,BF.B,Brown-Forman Corp.,Consumer Staples,2023-09-15 00:00:00,
83,CHRW,C. H. Robinson Worldwide,Industrials,2023-09-15 00:00:00,90.54000091552734
84,CA,"CA, Inc.",Information Technology,2023-09-15 00:00:00,
85,COG,Cabot Oil & Gas,Energy,2023-09-15 00:00:00,
86,CDNS,Cadence Design Systems,Information Technology,2023-09-15 00:00:00,234.0800018310547
87,CPB,Campbell Soup,Consumer Staples,2023-09-15 00:00:00,43.040000915527344
88,COF,Capital One Financial,Financials,2023-09-15 00:00:00,104.45999908447266
89,CAH,Cardinal Health Inc.,Health Care,2023-09-15 00:00:00,87.75
90,KMX,Carmax Inc,Consumer Discretionary,2023-09-15 00:00:00,83.23999786376953
91,CCL,Carnival Corp.,Consumer Discretionary,2023-09-15 00:00:00,15.1899995803833
92,CAT,Caterpillar Inc.,Industrials,2023-09-15 00:00:00,279.1499938964844
93,CBOE,CBOE Holdings,Financials,2023-09-15 00:00:00,149.25999450683594
94,CBG,CBRE Group,Real Estate,2023-09-15 00:00:00,
95,CBS,CBS Corp.,Consumer Discretionary,2023-09-15 00:00:00,
96,CELG,Celgene Corp.,Health Care,2023-09-15 00:00:00,
97,CNC,Centene Corporation,Health Care,2023-09-15 00:00:00,67.80999755859375
98,CNP,CenterPoint Energy,Utilities,2023-09-15 00:00:00,29.07999992370605
99,CTL,CenturyLink Inc,Telecommunication Services,2023-09-15 00:00:00,
100,CERN,Cerner,Health Care,2023-09-15 00:00:00,
101,CF,CF Industries Holdings Inc,Materials,2023-09-15 00:00:00,82.0999984741211
102,SCHW,Charles Schwab Corporation,Financials,2023-09-15 00:00:00,58.220001220703125
103,CHTR,Charter Communications,Consumer Discretionary,2023-09-15 00:00:00,447.9500122070313
104,CHK,Chesapeake Energy,Energy,2023-09-15 00:00:00,85.44999694824219
105,CVX,Chevron Corp.,Energy,2023-09-15 00:00:00,166.5
106,CMG,Chipotle Mexican Grill,Consumer Discretionary,2023-09-15 00:00:00,1912.5
107,CB,Chubb Limited,Financials,2023-09-15 00:00:00,212.1999969482422
108,CHD,Church & Dwight,Consumer Staples,2023-09-15 00:00:00,95.22000122070312
109,CI,CIGNA Corp.,Health Care,2023-09-15 00:00:00,283.2200012207031
110,XEC,Cimarex Energy,Energy,2023-09-15 00:00:00,
111,CINF,Cincinnati Financial,Financials,2023-09-15 00:00:00,107.19000244140624
112,CTAS,Cintas Corporation,Industrials,2023-09-15 00:00:00,515.0800170898438
113,CSCO,Cisco Systems,Information Technology,2023-09-15 00:00:00,56.040000915527344
114,C,Citigroup Inc.,Financials,2023-09-15 00:00:00,42.709999084472656
115,CFG,Citizens Financial Group,Financials,2023-09-15 00:00:00,27.959999084472656
116,CTXS,Citrix Systems,Information Technology,2023-09-15 00:00:00,
117,CME,CME Group Inc.,Financials,2023-09-15 00:00:00,206.82000732421875
118,CMS,CMS Energy,Utilities,2023-09-15 00:00:00,57.209999084472656
119,KO,Coca-Cola Company (The),Consumer Staples,2023-09-15 00:00:00,57.93999862670898
120,CTSH,Cognizant Technology Solutions,Information Technology,2023-09-15 00:00:00,70.16999816894531
121,CL,Colgate-Palmolive,Consumer Staples,2023-09-15 00:00:00,73.16999816894531
122,CMCSA,Comcast Corp.,Consumer Discretionary,2023-09-15 00:00:00,45.34000015258789
123,CMA,Comerica Inc.,Financials,2023-09-15 00:00:00,43.56999969482422
124,CAG,Conagra Brands,Consumer Staples,2023-09-15 00:00:00,28.940000534057617
125,CXO,Concho Resources,Energy,2023-09-15 00:00:00,
126,COP,ConocoPhillips,Energy,2023-09-15 00:00:00,123.56999969482422
127,ED,Consolidated Edison,Utilities,2023-09-15 00:00:00,91.48999786376952
128,STZ,Constellation Brands,Consumer Staples,2023-09-15 00:00:00,260.3399963378906
129,GLW,Corning Inc.,Information Technology,2023-09-15 00:00:00,31.229999542236328
130,COST,Costco Wholesale Corp.,Consumer Staples,2023-09-15 00:00:00,556.3599853515625
131,COTY,"Coty, Inc",Consumer Staples,2023-09-15 00:00:00,11.90999984741211
132,CCI,Crown Castle International Corp.,Real Estate,2023-09-15 00:00:00,98.41000366210938
133,CSRA,CSRA Inc.,Information Technology,2023-09-15 00:00:00,
134,CSX,CSX Corp.,Industrials,2023-09-15 00:00:00,30.850000381469727
135,CMI,Cummins Inc.,Industrials,2023-09-15 00:00:00,235.3699951171875
136,CVS,CVS Health,Consumer Staples,2023-09-15 00:00:00,70.87000274658203
137,DHI,D. R. Horton,Consumer Discretionary,2023-09-15 00:00:00,112.37000274658205
